epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,12678.1,1.24733,0.99304,1.68289,0.94839,0.87805,0.94096,0.52167,1.48825,0.77436,2.00665,0.0003005,0.0003005,0.0003005
105,12803.9,1.26115,1.0026,1.69192,0.95047,0.88407,0.9477,0.51132,1.52777,0.77101,2.04876,0.000284,0.000284,0.000284
106,12929.3,1.23179,0.98578,1.68229,0.94971,0.8645,0.94225,0.52407,1.49197,0.75538,2.00492,0.0002675,0.0002675,0.0002675
107,13055.2,1.25542,0.99471,1.69366,0.94707,0.87287,0.93953,0.52284,1.48151,0.75553,2.01272,0.000251,0.000251,0.000251
108,13177,1.22262,0.95553,1.67669,0.96523,0.86992,0.94102,0.52078,1.53432,0.76438,2.07113,0.0002345,0.0002345,0.0002345
109,13298.4,1.20092,0.9314,1.64526,0.96624,0.85315,0.94306,0.51231,1.53819,0.79244,2.10313,0.000218,0.000218,0.000218
110,13423.5,1.21859,0.95013,1.66317,0.96388,0.86771,0.9347,0.51101,1.52443,0.79079,2.06586,0.0002015,0.0002015,0.0002015
111,13542.9,1.14906,0.61925,1.51715,0.95828,0.87141,0.94084,0.53992,1.49225,0.77225,2.02209,0.000185,0.000185,0.000185
112,13665.2,1.12411,0.59249,1.49808,0.96152,0.88021,0.94827,0.53768,1.51078,0.74322,2.08375,0.0001685,0.0001685,0.0001685
113,13783.8,1.11906,0.58352,1.50068,0.96101,0.86826,0.94643,0.54023,1.49049,0.75261,2.05883,0.000152,0.000152,0.000152
114,13909.1,1.16089,0.58831,1.4695,0.97206,0.8485,0.94141,0.53969,1.51183,0.77609,2.08795,0.0001355,0.0001355,0.0001355
115,14029.4,1.14723,0.58267,1.47362,0.95549,0.87805,0.94344,0.52898,1.5242,0.75664,2.08769,0.000119,0.000119,0.000119
116,14148.2,1.09392,0.56582,1.46645,0.96963,0.8651,0.94963,0.53579,1.53716,0.74904,2.11853,0.0001025,0.0001025,0.0001025
117,14279.3,1.12392,0.55241,1.46587,0.97798,0.84011,0.94421,0.53633,1.52728,0.77515,2.09317,8.6e-05,8.6e-05,8.6e-05
118,14398,1.0872,0.55637,1.4627,0.91902,0.89185,0.94519,0.53731,1.50999,0.76433,2.07903,6.95e-05,6.95e-05,6.95e-05
119,14519.3,1.09681,0.54619,1.45753,0.94475,0.8805,0.94507,0.53452,1.51322,0.76093,2.06598,5.3e-05,5.3e-05,5.3e-05
120,14644.9,1.0736,0.54604,1.44635,0.94241,0.88694,0.94751,0.53099,1.52026,0.7533,2.06916,3.65e-05,3.65e-05,3.65e-05
